,State_Name,DFSI
Dhenkanal,ODISHA,14.8322836
Idukki,KERALA,14.83032034
Palghar,MAHARASHTRA,14.82102065
Sirmaur,HIMACHAL PRADESH,14.80632936
Yadgir,KARNATAKA,14.80416482
Raisen,MADHYA PRADESH,14.79397335
Uttar Dinajpur,WEST BENGAL,14.79290257
Bilaspur,HIMACHAL PRADESH,14.78901134
Buldana,MAHARASHTRA,14.77839941
West Tripura,TRIPURA,14.77717187
Rewa,MADHYA PRADESH,14.76859583
Garhwal,UTTARAKHAND,14.76356078
Anantnag,JAMMU & KASHMIR,14.75646676
Raipur,CHHATTISGARH,14.75386081
Chandauli,UTTAR PRADESH,14.75193731
Anand,GUJARAT,14.75043282
Kandhamal,ODISHA,14.72473012
Hojai,ASSAM,14.6887034
Kollam,KERALA,14.68786518
Sagar,MADHYA PRADESH,14.67359769
Pulwama,JAMMU & KASHMIR,14.65315351
Sant Kabir Nagar,UTTAR PRADESH,14.63892367
Erode,TAMIL NADU,14.63708614
Shrawasti,UTTAR PRADESH,14.63605482
Jajapur,ODISHA,14.63466026
Mandya,KARNATAKA,14.62688325
Auraiya,UTTAR PRADESH,14.61332986
Rampur,UTTAR PRADESH,14.61182068
Jhalawar,RAJASTHAN,14.60856401
Arwal,BIHAR,14.60179082
Kodagu,KARNATAKA,14.59323258
Chitradurga,KARNATAKA,14.58611459
Rae Bareli,UTTAR PRADESH,14.57834391
Shivamogga,KARNATAKA,14.57336747
Davanagere,KARNATAKA,14.56712063
Udalguri,ASSAM,14.55326952
Rupnagar,PUNJAB,14.55015296
Kolar,KARNATAKA,14.53218953
Kushinagar,UTTAR PRADESH,14.52573167
Panch Mahals,GUJARAT,14.51254198
Solan,HIMACHAL PRADESH,14.5046021
Charaideo,ASSAM,14.49848319
Doda,JAMMU & KASHMIR,14.48766653
Yavatmal,MAHARASHTRA,14.48260719
Chitrakoot,UTTAR PRADESH,14.47986865
Upper Siang,ARUNACHAL PRADESH,14.46874306
Jabalpur,MADHYA PRADESH,14.467792
Koppal,KARNATAKA,14.4652888
Kaushambi,UTTAR PRADESH,14.46272452
Dindigul,TAMIL NADU,14.46050498
Hassan,KARNATAKA,14.45235914
Kapurthala,PUNJAB,14.43707792
Sikar,RAJASTHAN,14.43374454
Bathinda,PUNJAB,14.4324391
Sirohi,RAJASTHAN,14.41496759
Ambala,HARYANA,14.40393673
Biswanath,ASSAM,14.37784693
Ambedkar Nagar,UTTAR PRADESH,14.34664677
Hoshiarpur,PUNJAB,14.34507615
Mau,UTTAR PRADESH,14.34490906
Adilabad,TELANGANA,14.34083765
Chengalpattu,TAMIL NADU,14.33882556
Chirang,ASSAM,14.32717707
Dhaulpur,RAJASTHAN,14.32286935
Gir Somnath,GUJARAT,14.31925727
Y.S.R.,ANDHRA PRADESH,14.31585622
Porbandar,GUJARAT,14.31098938
Badgam,JAMMU & KASHMIR,14.28259356
Indore,MADHYA PRADESH,14.27647479
Latur,MAHARASHTRA,14.27193988
Rajouri,JAMMU & KASHMIR,14.26711792
Mahrajganj,UTTAR PRADESH,14.24670267
Udhampur,JAMMU & KASHMIR,14.21953874
West Siang,ARUNACHAL PRADESH,14.20693182
Sundargarh,ODISHA,14.20170419
Ranchi,JHARKHAND,14.19712
Satara,MAHARASHTRA,14.19643832
The Dangs,GUJARAT,14.19302758
Sangrur,PUNJAB,14.18362692
The Nilgiris,TAMIL NADU,14.18152152
Nainital,UTTARAKHAND,14.17404359
Paschim Bardhaman,WEST BENGAL,14.1674848
Gandhinagar,GUJARAT,14.15049572
Nayagarh,ODISHA,14.14761178
Nandurbar,MAHARASHTRA,14.13588357
Karnal,HARYANA,14.13033978
South Salmara Mancachar,ASSAM,14.08872887
Jamui,BIHAR,14.0807807
Baghpat,UTTAR PRADESH,14.06001426
Reasi,JAMMU & KASHMIR,14.0472509
Ujjain,MADHYA PRADESH,14.0280024
Shamli,UTTAR PRADESH,14.02447752
Thiruvarur,TAMIL NADU,13.98087719
Bhadohi,UTTAR PRADESH,13.97963208
Ganderbal,JAMMU & KASHMIR,13.9688644
Chhindwara,MADHYA PRADESH,13.95524381
Sheikhpura,BIHAR,13.95297438
Hapur,UTTAR PRADESH,13.94663413
Morena,MADHYA PRADESH,13.93928251
Sabar Kantha,GUJARAT,13.9356837
East Siang,ARUNACHAL PRADESH,13.92916282
Tehri Garhwal,UTTARAKHAND,13.92891133
Chikkamagaluru,KARNATAKA,13.92807229
Krishnagiri,TAMIL NADU,13.91561676
Nagaur,RAJASTHAN,13.91402188
Vellore,TAMIL NADU,13.90970071
Puruliya,WEST BENGAL,13.90934184
Dhule,MAHARASHTRA,13.90537921
Pudukkottai,TAMIL NADU,13.88705312
Virudhunagar,TAMIL NADU,13.88461132
Vidisha,MADHYA PRADESH,13.87908452
Khammam,TELANGANA,13.87620714
Bhiwani,HARYANA,13.86118152
Jamnagar,GUJARAT,13.85596092
Kishtwar,JAMMU & KASHMIR,13.85162013
Khordha,ODISHA,13.84960211
Papum Pare,ARUNACHAL PRADESH,13.81967018
West Karbi Anglong,ASSAM,13.7925604
